===== 2026-08-25 13:31:58 更新 =====
新增 16 / 减少 2 / 变更 69

--- 新增模型（16）---
+ bing_grounding/search  [bing_grounding/search] 入- 出-
+ databricks/databricks-claude-fable-5  [databricks/chat] 入$10 出$50
+ databricks/databricks-claude-opus-4-7  [databricks/chat] 入$5 出$25
+ databricks/databricks-claude-opus-4-8  [databricks/chat] 入$5 出$25
+ databricks/databricks-claude-opus-5  [databricks/chat] 入$5 出$25
+ databricks/databricks-claude-sonnet-5  [databricks/chat] 入$3 出$15
+ runwayml/aleph2  [runwayml/video_generation] 入- 出-
+ runwayml/gemini_omni_flash  [runwayml/video_generation] 入- 出-
+ runwayml/gen4.5  [runwayml/video_generation] 入- 出-
+ runwayml/hailuo3  [runwayml/video_generation] 入- 出-
+ runwayml/seedance2  [runwayml/video_generation] 入- 出-
+ runwayml/seedance2_5  [runwayml/video_generation] 入- 出-
+ runwayml/seedance2_fast  [runwayml/video_generation] 入- 出-
+ runwayml/seedance2_mini  [runwayml/video_generation] 入- 出-
+ runwayml/veo3.1  [runwayml/video_generation] 入- 出-
+ runwayml/veo3.1_fast  [runwayml/video_generation] 入- 出-

--- 减少模型（2）---
- runwayml/gen3a_turbo  [runwayml/video_generation] 入- 出-
- runwayml/gen4_aleph  [runwayml/video_generation] 入- 出-

--- 发生变更（69）---
~ anthropic.claude-opus-4-6-v1  [bedrock_converse/chat] 入$5 出$25
~ anthropic.claude-sonnet-4-6  [bedrock_converse/chat] 入$3 出$15
~ au.anthropic.claude-opus-4-6-v1  [bedrock_converse/chat] 入$5.5 出$27.5
~ au.anthropic.claude-sonnet-4-6  [bedrock_converse/chat] 入$3.3 出$16.5
~ azure_ai/claude-opus-4-6  [azure_ai/chat] 入$5 出$25
~ azure_ai/claude-sonnet-4-6  [azure_ai/chat] 入$3 出$15
~ claude-opus-4-6  [anthropic/chat] 入$5 出$25
~ claude-opus-4-6-20260205  [anthropic/chat] 入$5 出$25
~ claude-sonnet-4-6  [anthropic/chat] 入$3 出$15
~ databricks/databricks-bge-large-en  [databricks/embedding] 入$0.1 出$0
~ databricks/databricks-claude-3-7-sonnet  [databricks/chat] 入$3 出$15
~ databricks/databricks-claude-haiku-4-5  [databricks/chat] 入$1 出$5
~ databricks/databricks-claude-opus-4  [databricks/chat] 入$15 出$75
~ databricks/databricks-claude-opus-4-1  [databricks/chat] 入$15 出$75
~ databricks/databricks-claude-opus-4-5  [databricks/chat] 入$5 出$25
~ databricks/databricks-claude-opus-4-6  [databricks/chat] 入$5 出$25
~ databricks/databricks-claude-sonnet-4  [databricks/chat] 入$3 出$15
~ databricks/databricks-claude-sonnet-4-1  [databricks/chat] 入$3 出$15
~ databricks/databricks-claude-sonnet-4-5  [databricks/chat] 入$3 出$15
~ databricks/databricks-claude-sonnet-4-6  [databricks/chat] 入$3 出$15
~ databricks/databricks-gemini-2-5-flash  [databricks/chat] 入$0.3 出$2.5
~ databricks/databricks-gemini-2-5-pro  [databricks/chat] 入$1.25 出$10
~ databricks/databricks-gemini-3-1-flash-lite  [databricks/chat] 入$0.3125 出$1.875
~ databricks/databricks-gemini-3-1-pro  [databricks/chat] 入$2.5 出$15
~ databricks/databricks-gemini-3-flash  [databricks/chat] 入$0.625 出$3.75
~ databricks/databricks-gemini-3-pro  [databricks/chat] 入$2.5 出$15
~ databricks/databricks-gemma-3-12b  [databricks/chat] 入$0.15 出$0.5
~ databricks/databricks-gpt-5  [databricks/chat] 入$1.25 出$10
~ databricks/databricks-gpt-5-1  [databricks/chat] 入$1.25 出$10
~ databricks/databricks-gpt-5-1-codex-max  [databricks/chat] 入$1.25 出$10
~ databricks/databricks-gpt-5-1-codex-mini  [databricks/chat] 入$0.25 出$2
~ databricks/databricks-gpt-5-2  [databricks/chat] 入$1.75 出$14
~ databricks/databricks-gpt-5-2-codex  [databricks/chat] 入$1.75 出$14
~ databricks/databricks-gpt-5-3-codex  [databricks/chat] 入$1.75 出$14
~ databricks/databricks-gpt-5-4  [databricks/chat] 入$2.5 出$15
~ databricks/databricks-gpt-5-4-mini  [databricks/chat] 入$0.75 出$4.5
~ databricks/databricks-gpt-5-4-nano  [databricks/chat] 入$0.2 出$1.25
~ databricks/databricks-gpt-5-mini  [databricks/chat] 入$0.25 出$2
~ databricks/databricks-gpt-5-nano  [databricks/chat] 入$0.04998 出$0.4
~ databricks/databricks-gpt-oss-120b  [databricks/chat] 入$0.15 出$0.6
~ databricks/databricks-gpt-oss-20b  [databricks/chat] 入$0.07 出$0.3
~ databricks/databricks-gte-large-en  [databricks/embedding] 入$0.13 出$0
~ databricks/databricks-llama-2-70b-chat  [databricks/chat] 入$0.5 出$1.5
~ databricks/databricks-llama-4-maverick  [databricks/chat] 入$0.5 出$1.5
~ databricks/databricks-meta-llama-3-1-405b-instruct  [databricks/chat] 入$5 出$15
~ databricks/databricks-meta-llama-3-1-8b-instruct  [databricks/chat] 入$0.15 出$0.45
~ databricks/databricks-meta-llama-3-3-70b-instruct  [databricks/chat] 入$0.5 出$1.5
~ databricks/databricks-meta-llama-3-70b-instruct  [databricks/chat] 入$1 出$3
~ databricks/databricks-mixtral-8x7b-instruct  [databricks/chat] 入$0.5 出$1
~ databricks/databricks-mpt-30b-instruct  [databricks/chat] 入$1 出$1
~ databricks/databricks-mpt-7b-instruct  [databricks/chat] 入$0.5 出$0
~ eu.anthropic.claude-opus-4-6-v1  [bedrock_converse/chat] 入$5.5 出$27.5
~ eu.anthropic.claude-sonnet-4-6  [bedrock_converse/chat] 入$3.3 出$16.5
~ fallback_generalizations  [/] 入- 出-
~ github_copilot/claude-opus-4.6-fast  [github_copilot/chat] 入- 出-
~ global.anthropic.claude-opus-4-6-v1  [bedrock_converse/chat] 入$5 出$25
~ global.anthropic.claude-sonnet-4-6  [bedrock_converse/chat] 入$3 出$15
~ jp.anthropic.claude-sonnet-4-6  [bedrock_converse/chat] 入$3.3 出$16.5
~ openrouter/anthropic/claude-opus-4.6  [openrouter/chat] 入$5 出$25
~ openrouter/anthropic/claude-sonnet-4.6  [openrouter/chat] 入$3 出$15
~ perplexity/anthropic/claude-opus-4-6  [perplexity/responses] 入- 出-
~ snowflake/claude-sonnet-4-6  [snowflake/chat] 入$3 出$15
~ us.anthropic.claude-opus-4-6-v1  [bedrock_converse/chat] 入$5.5 出$27.5
~ us.anthropic.claude-sonnet-4-6  [bedrock_converse/chat] 入$3.3 出$16.5
~ vercel_ai_gateway/anthropic/claude-opus-4.6  [vercel_ai_gateway/chat] 入$5 出$25
~ vertex_ai/claude-opus-4-6  [vertex_ai-anthropic_models/chat] 入$5 出$25
~ vertex_ai/claude-opus-4-6@default  [vertex_ai-anthropic_models/chat] 入$5 出$25
~ vertex_ai/claude-sonnet-4-6  [vertex_ai-anthropic_models/chat] 入$3 出$15
~ vertex_ai/claude-sonnet-4-6@default  [vertex_ai-anthropic_models/chat] 入$3 出$15

