===== 2026-08-26 13:31:41 更新 =====
新增 23 / 减少 0 / 变更 32

--- 新增模型（23）---
+ together_ai/MiniMaxAI/MiniMax-M3  [together_ai/chat] 入$0.3 出$1.2
+ together_ai/Prism-ML/Ternary-Bonsai-27B  [together_ai/chat] 入$0 出$0
+ together_ai/Qwen/Qwen3.5-9B  [together_ai/chat] 入$0.17 出$0.25
+ together_ai/Qwen/Qwen3.6-Plus  [together_ai/chat] 入$0.5 出$3
+ together_ai/Qwen/Qwen3.7-Max  [together_ai/chat] 入$1.25 出$3.75
+ together_ai/Qwen/Qwen3.7-Plus  [together_ai/chat] 入$0.32 出$1.28
+ together_ai/Qwen/Qwen3.8-2.4T-A95B  [together_ai/chat] 入$2.5 出$6.25
+ together_ai/arize-ai/qwen-2-1.5b-instruct  [together_ai/chat] 入$0.1 出$0.1
+ together_ai/deepseek-ai/DeepSeek-V4-Flash-0731  [together_ai/chat] 入$0.14 出$0.28
+ together_ai/deepseek-ai/DeepSeek-V4-Pro  [together_ai/chat] 入$1.74 出$3.48
+ together_ai/deepseek-ai/DeepSeek-V4-Pro-0813  [together_ai/chat] 入$1.32 出$3.96
+ together_ai/google/gemma-3n-E4B-it  [together_ai/chat] 入$0.06 出$0.12
+ together_ai/google/gemma-4-31B-it  [together_ai/chat] 入$0.39 出$0.97
+ together_ai/intfloat/multilingual-e5-large-instruct  [together_ai/embedding] 入$0.02 出$0.02
+ together_ai/meta-llama/Llama-Guard-4-12B  [together_ai/chat] 入$0.2 出$0.2
+ together_ai/meta-models/Muse-Glimmer-30B  [together_ai/chat] 入$0.35 出$1.5
+ together_ai/moonshotai/Kimi-K2.7-Code  [together_ai/chat] 入$0.95 出$4
+ together_ai/moonshotai/Kimi-K3  [together_ai/chat] 入$3 出$15
+ together_ai/nvidia/nemotron-3-ultra-550b-a55b  [together_ai/chat] 入$0.6 出$3.6
+ together_ai/pearl-ai/gemma-4-31b-it  [together_ai/chat] 入$0.28 出$0.86
+ together_ai/thinkingmachines/Inkling  [together_ai/chat] 入$1 出$4.05
+ together_ai/thinkingmachines/Inkling-Small  [together_ai/chat] 入$0.5 出$1.2
+ together_ai/zai-org/GLM-5.2  [together_ai/chat] 入$1.4 出$4.4

--- 发生变更（32）---
~ bedrock_mantle/openai.gpt-5.6-luna  [bedrock_mantle/responses] 入$0.22 出$1.32
~ bedrock_mantle/openai.gpt-5.6-sol  [bedrock_mantle/responses] 入$5.5 出$33
~ bedrock_mantle/openai.gpt-5.6-terra  [bedrock_mantle/responses] 入$2.2 出$13.2
~ together_ai/Qwen/Qwen2.5-72B-Instruct-Turbo  [together_ai/chat] 入- 出-
~ together_ai/Qwen/Qwen3-235B-A22B-Instruct-2507-tput  [together_ai/chat] 入$0.2 出$6
~ together_ai/Qwen/Qwen3-235B-A22B-Thinking-2507  [together_ai/chat] 入$0.65 出$3
~ together_ai/Qwen/Qwen3-235B-A22B-fp8-tput  [together_ai/chat] 入$0.2 出$0.6
~ together_ai/Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8  [together_ai/chat] 入$2 出$2
~ together_ai/Qwen/Qwen3-Next-80B-A3B-Instruct  [together_ai/chat] 入$0.15 出$1.5
~ together_ai/Qwen/Qwen3-Next-80B-A3B-Thinking  [together_ai/chat] 入$0.15 出$1.5
~ together_ai/Qwen/Qwen3.5-397B-A17B  [together_ai/chat] 入$0.6 出$3.6
~ together_ai/deepseek-ai/DeepSeek-R1  [together_ai/chat] 入$3 出$7
~ together_ai/deepseek-ai/DeepSeek-R1-0528-tput  [together_ai/chat] 入$0.55 出$2.19
~ together_ai/deepseek-ai/DeepSeek-V3  [together_ai/chat] 入$1.25 出$1.25
~ together_ai/deepseek-ai/DeepSeek-V3.1  [together_ai/chat] 入$0.6 出$1.7
~ together_ai/meta-llama/Llama-3.2-3B-Instruct-Turbo  [together_ai/chat] 入- 出-
~ together_ai/meta-llama/Llama-3.3-70B-Instruct-Turbo  [together_ai/chat] 入$1.04 出$1.04
~ together_ai/meta-llama/Llama-3.3-70B-Instruct-Turbo-Free  [together_ai/chat] 入$0 出$0
~ together_ai/meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8  [together_ai/chat] 入$0.27 出$0.85
~ together_ai/meta-llama/Llama-4-Scout-17B-16E-Instruct  [together_ai/chat] 入$0.18 出$0.59
~ together_ai/meta-llama/Meta-Llama-3.1-405B-Instruct-Turbo  [together_ai/chat] 入$3.5 出$3.5
~ together_ai/meta-llama/Meta-Llama-3.1-70B-Instruct-Turbo  [together_ai/chat] 入$0.88 出$0.88
~ together_ai/meta-llama/Meta-Llama-3.1-8B-Instruct-Turbo  [together_ai/chat] 入$0.18 出$0.18
~ together_ai/mistralai/Mistral-7B-Instruct-v0.1  [together_ai/chat] 入- 出-
~ together_ai/mistralai/Mistral-Small-24B-Instruct-2501  [together_ai/chat] 入- 出-
~ together_ai/mistralai/Mixtral-8x7B-Instruct-v0.1  [together_ai/chat] 入$0.6 出$0.6
~ together_ai/moonshotai/Kimi-K2-Instruct  [together_ai/chat] 入$1 出$3
~ together_ai/moonshotai/Kimi-K2-Instruct-0905  [together_ai/chat] 入$1 出$3
~ together_ai/moonshotai/Kimi-K2.5  [together_ai/chat] 入$0.5 出$2.8
~ together_ai/zai-org/GLM-4.5-Air-FP8  [together_ai/chat] 入$0.2 出$1.1
~ together_ai/zai-org/GLM-4.6  [together_ai/chat] 入$0.6 出$2.2
~ together_ai/zai-org/GLM-4.7  [together_ai/chat] 入$0.45 出$2

