===== 2026-08-27 13:25:23 更新 =====
新增 2 / 减少 0 / 变更 134

--- 新增模型（2）---
+ deepseek/deepseek-v4-flash-vision-exp  [deepseek/chat] 入$0.44 出$1.32
+ gemini-live-2.5-flash-native-audio  [vertex_ai-language-models/realtime] 入$0.5 出$2

--- 发生变更（134）---
~ anthropic.claude-fable-5  [bedrock_converse/chat] 入$10 出$50
~ azure/eu/gpt-5.6  [azure/chat] 入$5.5 出$33
~ azure/eu/gpt-5.6-luna  [azure/chat] 入$0.22 出$1.32
~ azure/eu/gpt-5.6-sol  [azure/chat] 入$5.5 出$33
~ azure/eu/gpt-5.6-terra  [azure/chat] 入$2.2 出$13.2
~ azure/gpt-5.6  [azure/chat] 入$5 出$30
~ azure/gpt-5.6-luna  [azure/chat] 入$0.2 出$1.2
~ azure/gpt-5.6-sol  [azure/chat] 入$5 出$30
~ azure/gpt-5.6-terra  [azure/chat] 入$2 出$12
~ azure/us/gpt-5.6  [azure/chat] 入$5.5 出$33
~ azure/us/gpt-5.6-luna  [azure/chat] 入$0.22 出$1.32
~ azure/us/gpt-5.6-sol  [azure/chat] 入$5.5 出$33
~ azure/us/gpt-5.6-terra  [azure/chat] 入$2.2 出$13.2
~ azure_ai/claude-fable-5  [azure_ai/chat] 入$10 出$50
~ azure_ai/claude-haiku-4-5  [azure_ai/chat] 入$1 出$5
~ azure_ai/claude-opus-4-1  [azure_ai/chat] 入$15 出$75
~ azure_ai/claude-opus-4-5  [azure_ai/chat] 入$5 出$25
~ azure_ai/claude-opus-4-6  [azure_ai/chat] 入$5 出$25
~ azure_ai/claude-opus-4-7  [azure_ai/chat] 入$5 出$25
~ azure_ai/claude-opus-4-8  [azure_ai/chat] 入$5 出$25
~ azure_ai/claude-sonnet-4-5  [azure_ai/chat] 入$3 出$15
~ azure_ai/claude-sonnet-4-6  [azure_ai/chat] 入$3 出$15
~ azure_ai/claude-sonnet-5  [azure_ai/chat] 入$2 出$10
~ bedrock_mantle/openai.gpt-5.4  [bedrock_mantle/responses] 入$2.75 出$16.5
~ bedrock_mantle/openai.gpt-5.5  [bedrock_mantle/responses] 入$5.5 出$33
~ claude-3-haiku-20240307  [anthropic/chat] 入$0.25 出$1.25
~ claude-3-opus-20240229  [anthropic/chat] 入$15 出$75
~ claude-mythos-5  [anthropic/chat] 入$10 出$50
~ claude-mythos-preview  [anthropic/chat] 入$10 出$50
~ claude-opus-4-6  [anthropic/chat] 入$5 出$25
~ claude-opus-4-6-20260205  [anthropic/chat] 入$5 出$25
~ claude-opus-4-7  [anthropic/chat] 入$5 出$25
~ claude-opus-4-7-20260416  [anthropic/chat] 入$5 出$25
~ claude-sonnet-4-6  [anthropic/chat] 入$3 出$15
~ databricks/databricks-claude-haiku-4-5  [databricks/chat] 入$1 出$5
~ databricks/databricks-claude-opus-4  [databricks/chat] 入$15 出$75
~ databricks/databricks-claude-opus-4-1  [databricks/chat] 入$15 出$75
~ databricks/databricks-claude-opus-4-5  [databricks/chat] 入$5 出$25
~ databricks/databricks-claude-opus-4-6  [databricks/chat] 入$5 出$25
~ databricks/databricks-claude-sonnet-4  [databricks/chat] 入$3 出$15
~ databricks/databricks-claude-sonnet-4-5  [databricks/chat] 入$3 出$15
~ databricks/databricks-claude-sonnet-4-6  [databricks/chat] 入$3 出$15
~ eu.anthropic.claude-fable-5  [bedrock_converse/chat] 入$11 出$55
~ gemini-2.5-flash  [vertex_ai-language-models/chat] 入$0.3 出$2.5
~ gemini-2.5-flash-lite  [vertex_ai-language-models/chat] 入$0.1 出$0.4
~ gemini-2.5-flash-lite-preview-06-17  [vertex_ai-language-models/chat] 入$0.1 出$0.4
~ gemini-2.5-flash-lite-preview-09-2025  [vertex_ai-language-models/chat] 入$0.1 出$0.4
~ gemini-2.5-flash-native-audio-latest  [gemini/chat] 入$0.5 出$2
~ gemini-2.5-flash-native-audio-preview-09-2025  [gemini/chat] 入$0.5 出$2
~ gemini-2.5-flash-native-audio-preview-12-2025  [gemini/chat] 入$0.5 出$2
~ gemini-2.5-flash-preview-09-2025  [vertex_ai-language-models/chat] 入$0.3 出$2.5
~ gemini-2.5-flash-preview-tts  [gemini/audio_speech] 入$0.5 出$10
~ gemini-2.5-pro  [vertex_ai-language-models/chat] 入$1.25 出$10
~ gemini-2.5-pro-preview-tts  [vertex_ai-language-models/chat] 入$1 出$20
~ gemini-3-flash-preview  [vertex_ai-language-models/chat] 入$0.5 出$3
~ gemini-3.1-flash-lite  [vertex_ai-language-models/chat] 入$0.25 出$1.5
~ gemini-3.1-flash-lite-preview  [vertex_ai-language-models/chat] 入$0.25 出$1.5
~ gemini-3.1-pro-preview  [vertex_ai-language-models/chat] 入$2 出$12 图$0.00012
~ gemini-3.1-pro-preview-customtools  [vertex_ai-language-models/chat] 入$2 出$12 图$0.00012
~ gemini-3.5-flash  [vertex_ai-language-models/chat] 入$1.5 出$9
~ gemini-3.5-flash-lite  [vertex_ai-language-models/chat] 入$0.3 出$2.5
~ gemini-3.6-flash  [vertex_ai-language-models/chat] 入$0.75 出$3.75
~ gemini-3.7-flash  [vertex_ai-language-models/chat] 入$0.75 出$3.75
~ gemini-flash-latest  [gemini/chat] 入$0.3 出$2.5
~ gemini-flash-lite-latest  [gemini/chat] 入$0.1 出$0.4
~ gemini-live-2.5-flash-preview-native-audio-09-2025  [vertex_ai-language-models/realtime] 入$0.5 出$2
~ gemini-pro-latest  [gemini/chat] 入$1.25 出$10
~ gemini/gemini-2.5-flash  [gemini/chat] 入$0.3 出$2.5
~ gemini/gemini-2.5-flash-lite  [gemini/chat] 入$0.1 出$0.4
~ gemini/gemini-2.5-flash-lite-preview-06-17  [gemini/chat] 入$0.1 出$0.4
~ gemini/gemini-2.5-flash-lite-preview-09-2025  [gemini/chat] 入$0.1 出$0.4
~ gemini/gemini-2.5-flash-native-audio-latest  [gemini/chat] 入$0.5 出$2
~ gemini/gemini-2.5-flash-native-audio-preview-09-2025  [gemini/chat] 入$0.5 出$2
~ gemini/gemini-2.5-flash-native-audio-preview-12-2025  [gemini/chat] 入$0.5 出$2
~ gemini/gemini-2.5-flash-preview-09-2025  [gemini/chat] 入$0.3 出$2.5
~ gemini/gemini-2.5-flash-preview-tts  [gemini/audio_speech] 入$0.5 出$10
~ gemini/gemini-2.5-pro  [gemini/chat] 入$1.25 出$10
~ gemini/gemini-2.5-pro-preview-tts  [gemini/chat] 入$1 出$20
~ gemini/gemini-3-flash-preview  [gemini/chat] 入$0.5 出$3
~ gemini/gemini-3.1-flash-lite  [gemini/chat] 入$0.25 出$1.5
~ gemini/gemini-3.1-flash-lite-preview  [gemini/chat] 入$0.25 出$1.5
~ gemini/gemini-3.1-pro-preview  [gemini/chat] 入$2 出$12
~ gemini/gemini-3.1-pro-preview-customtools  [gemini/chat] 入$2 出$12
~ gemini/gemini-3.5-flash  [gemini/chat] 入$1.5 出$9
~ gemini/gemini-3.5-flash-lite  [gemini/chat] 入$0.3 出$2.5
~ gemini/gemini-3.6-flash  [gemini/chat] 入$0.75 出$3.75
~ gemini/gemini-3.7-flash  [gemini/chat] 入$0.75 出$3.75
~ gemini/gemini-flash-latest  [gemini/chat] 入$0.3 出$2.5
~ gemini/gemini-flash-lite-latest  [gemini/chat] 入$0.1 出$0.4
~ gemini/gemini-live-2.5-flash-preview-native-audio-09-2025  [gemini/realtime] 入$0.5 出$2
~ gemini/gemini-pro-latest  [gemini/chat] 入$1.25 出$10
~ global.anthropic.claude-fable-5  [bedrock_converse/chat] 入$10 出$50
~ global.openai.gpt-5.6-luna  [bedrock_converse/chat] 入$0.2 出$1.2
~ global.openai.gpt-5.6-sol  [bedrock_converse/chat] 入$5 出$30
~ global.openai.gpt-5.6-terra  [bedrock_converse/chat] 入$2 出$12
~ openrouter/anthropic/claude-haiku-4.5  [openrouter/chat] 入$1 出$5
~ openrouter/anthropic/claude-opus-4  [openrouter/chat] 入$15 出$75
~ openrouter/anthropic/claude-opus-4.1  [openrouter/chat] 入$15 出$75
~ openrouter/anthropic/claude-opus-4.5  [openrouter/chat] 入$5 出$25
~ openrouter/anthropic/claude-opus-4.6  [openrouter/chat] 入$5 出$25
~ openrouter/anthropic/claude-opus-4.7  [openrouter/chat] 入$5 出$25
~ openrouter/anthropic/claude-sonnet-4  [openrouter/chat] 入$3 出$15
~ openrouter/anthropic/claude-sonnet-4.5  [openrouter/chat] 入$3 出$15
~ openrouter/anthropic/claude-sonnet-4.6  [openrouter/chat] 入$3 出$15
~ replicate/anthropic/claude-4-sonnet  [replicate/chat] 入$3 出$15
~ replicate/anthropic/claude-4.5-haiku  [replicate/chat] 入$1 出$5
~ replicate/anthropic/claude-4.5-sonnet  [replicate/chat] 入$3 出$15
~ snowflake/claude-4-opus  [snowflake/chat] 入$5 出$25
~ snowflake/claude-4-sonnet  [snowflake/chat] 入$3 出$15
~ snowflake/claude-haiku-4-5  [snowflake/chat] 入$1 出$5
~ snowflake/claude-sonnet-4-5  [snowflake/chat] 入$3 出$15
~ snowflake/claude-sonnet-4-6  [snowflake/chat] 入$3 出$15
~ us.anthropic.claude-fable-5  [bedrock_converse/chat] 入$11 出$55
~ us.openai.gpt-5.6-luna  [bedrock_converse/chat] 入$0.22 出$1.32
~ us.openai.gpt-5.6-sol  [bedrock_converse/chat] 入$5.5 出$33
~ us.openai.gpt-5.6-terra  [bedrock_converse/chat] 入$2.2 出$13.2
~ vercel_ai_gateway/anthropic/claude-haiku-4.5  [vercel_ai_gateway/chat] 入$1 出$5
~ vercel_ai_gateway/anthropic/claude-opus-4  [vercel_ai_gateway/chat] 入$15 出$75
~ vercel_ai_gateway/anthropic/claude-opus-4.1  [vercel_ai_gateway/chat] 入$15 出$75
~ vercel_ai_gateway/anthropic/claude-opus-4.5  [vercel_ai_gateway/chat] 入$5 出$25
~ vercel_ai_gateway/anthropic/claude-opus-4.6  [vercel_ai_gateway/chat] 入$5 出$25
~ vercel_ai_gateway/anthropic/claude-sonnet-4  [vercel_ai_gateway/chat] 入$3 出$15
