===== 2026-08-29 13:32:09 更新 =====
新增 18 / 减少 0 / 变更 61

--- 新增模型（18）---
+ databricks/databricks-glm-5-3-flash  [databricks/chat] 入- 出-
+ gemini/gemini-omni-1.1-flash  [gemini/chat] 入$1.5 出$9
+ low/1024-x-1024/grok-imagine-image-2.0  [xai/image_generation] 入- 出-
+ xai/grok-4.20  [xai/chat] 入$1.25 出$2.5
+ xai/grok-4.20-multi-agent  [xai/responses] 入$1.25 出$2.5
+ xai/grok-4.20-multi-agent-latest  [xai/responses] 入$1.25 出$2.5
+ xai/grok-4.20-non-reasoning  [xai/chat] 入$1.25 出$2.5
+ xai/grok-4.20-non-reasoning-latest  [xai/chat] 入$1.25 出$2.5
+ xai/grok-4.20-reasoning  [xai/chat] 入$1.25 出$2.5
+ xai/grok-4.20-reasoning-latest  [xai/chat] 入$1.25 出$2.5
+ xai/grok-imagine-image  [xai/image_generation] 入- 出-
+ xai/grok-imagine-image-2.0  [xai/image_generation] 入- 出-
+ xai/grok-imagine-image-2026-03-02  [xai/image_generation] 入- 出-
+ xai/grok-imagine-image-pro  [xai/image_generation] 入- 出-
+ xai/grok-imagine-image-quality  [xai/image_generation] 入- 出-
+ xai/grok-imagine-image-quality-20260403  [xai/image_generation] 入- 出-
+ xai/grok-imagine-image-quality-latest  [xai/image_generation] 入- 出-
+ zai/glm-5.3-flash  [zai/chat] 入$0.15 出$0.5

--- 发生变更（61）---
~ azure/eu/gpt-5.1  [azure/chat] 入$1.38 出$11
~ azure/eu/gpt-5.1-chat  [azure/chat] 入$1.38 出$11
~ azure/eu/gpt-5.4  [azure/chat] 入$2.75 出$16.5
~ azure/eu/gpt-5.4-2026-03-05  [azure/chat] 入$2.75 出$16.5
~ azure/global/gpt-5.1  [azure/chat] 入$1.25 出$10
~ azure/global/gpt-5.1-chat  [azure/chat] 入$1.25 出$10
~ azure/gpt-5.1  [azure/chat] 入$1.25 出$10
~ azure/gpt-5.1-2025-11-13  [azure/chat] 入$1.25 出$10
~ azure/gpt-5.1-chat  [azure/chat] 入$1.25 出$10
~ azure/gpt-5.1-chat-2025-11-13  [azure/chat] 入$1.25 出$10
~ azure/gpt-5.4  [azure/chat] 入$2.5 出$15
~ azure/gpt-5.4-2026-03-05  [azure/chat] 入$2.5 出$15
~ azure/gpt-5.4-mini  [azure/chat] 入$0.75 出$4.5
~ azure/gpt-5.4-mini-2026-03-17  [azure/chat] 入$0.75 出$4.5
~ azure/gpt-5.4-nano  [azure/chat] 入$0.2 出$1.25
~ azure/gpt-5.4-nano-2026-03-17  [azure/chat] 入$0.2 出$1.25
~ azure/us/gpt-5.1  [azure/chat] 入$1.38 出$11
~ azure/us/gpt-5.1-chat  [azure/chat] 入$1.38 出$11
~ azure/us/gpt-5.4  [azure/chat] 入$2.75 出$16.5
~ azure/us/gpt-5.4-2026-03-05  [azure/chat] 入$2.75 出$16.5
~ azure_ai/gpt-5.4  [azure_ai/chat] 入$2.5 出$15
~ azure_ai/gpt-5.4-2026-03-05  [azure_ai/chat] 入$2.5 出$15
~ azure_ai/gpt-5.4-mini  [azure_ai/chat] 入$0.75 出$4.5
~ azure_ai/gpt-5.4-mini-2026-03-17  [azure_ai/chat] 入$0.75 出$4.5
~ azure_ai/gpt-5.4-nano  [azure_ai/chat] 入$0.2 出$1.25
~ azure_ai/gpt-5.4-nano-2026-03-17  [azure_ai/chat] 入$0.2 出$1.25
~ bedrock_mantle/openai.gpt-5.4  [bedrock_mantle/responses] 入$2.75 出$16.5
