===== 2026-09-04 13:31:22 更新 =====
新增 43 / 减少 1 / 变更 29

--- 新增模型（43）---
+ azure/us-gov/gpt-5.1  [azure/chat] 入$1.719 出$13.75
+ azure/us-gov/o3-mini  [azure/chat] 入$1.513 出$6.05
+ azure/us-gov/text-embedding-3-large  [azure/embedding] 入$0.163 出$0
+ azure/us-gov/text-embedding-3-small  [azure/embedding] 入$0.025 出$0
+ azure_ai/DeepSeek-V4-Flash-0731  [azure_ai/chat] 入$0.44 出$1.32
+ azure_ai/grok-4.6  [azure_ai/chat] 入$2 出$6
+ azure_ai/kimi-k2.7-code  [azure_ai/chat] 入$0.95 出$4
+ bedrock/us-gov-east-1/anthropic.claude-opus-4-8  [bedrock/chat] 入$6 出$30
+ bedrock/us-gov-east-1/anthropic.claude-sonnet-5  [bedrock/chat] 入$2.4 出$12
+ bedrock/us-gov-east-1/nvidia.nemotron-nano-12b-v2  [bedrock/chat] 入$0.24 出$0.72
+ bedrock/us-gov-east-1/nvidia.nemotron-nano-3-30b  [bedrock/chat] 入$0.072 出$0.288
+ bedrock/us-gov-east-1/nvidia.nemotron-super-3-120b  [bedrock/chat] 入$0.18 出$0.78
+ bedrock/us-gov-east-1/openai.gpt-oss-120b-1:0  [bedrock/chat] 入$0.18 出$0.72
+ bedrock/us-gov-east-1/openai.gpt-oss-20b-1:0  [bedrock/chat] 入$0.084 出$0.36
+ bedrock/us-gov-west-1/anthropic.claude-opus-4-8  [bedrock/chat] 入$6 出$30
+ bedrock/us-gov-west-1/anthropic.claude-sonnet-5  [bedrock/chat] 入$2.4 出$12
+ bedrock/us-gov-west-1/nvidia.nemotron-nano-12b-v2  [bedrock/chat] 入$0.24 出$0.72
+ bedrock/us-gov-west-1/nvidia.nemotron-nano-3-30b  [bedrock/chat] 入$0.072 出$0.288
+ bedrock/us-gov-west-1/nvidia.nemotron-super-3-120b  [bedrock/chat] 入$0.18 出$0.78
+ bedrock/us-gov-west-1/openai.gpt-oss-120b-1:0  [bedrock/chat] 入$0.18 出$0.72
+ bedrock/us-gov-west-1/openai.gpt-oss-20b-1:0  [bedrock/chat] 入$0.084 出$0.36
+ bedrock_mantle/us-gov-east-1/openai.gpt-5.4  [bedrock_mantle/responses] 入$3.3 出$19.8
+ bedrock_mantle/us-gov-west-1/openai.gpt-5.4  [bedrock_mantle/responses] 入$3.3 出$19.8
+ bedrock_mantle/us-gov-west-1/openai.gpt-5.6-luna  [bedrock_mantle/responses] 入$0.264 出$1.584
+ bedrock_mantle/us-gov-west-1/openai.gpt-5.6-terra  [bedrock_mantle/responses] 入$2.64 出$15.84
+ bedrock_mantle/us-gov-west-1/xai.grok-4.3  [bedrock_mantle/chat] 入$1.5 出$3
+ cloudflare/@cf/openai/whisper  [cloudflare/audio_transcription] 入- 出-
+ cloudflare/@cf/openai/whisper-large-v3-turbo  [cloudflare/audio_transcription] 入- 出-
+ fireworks_ai/accounts/fireworks/models/glm-5p3-flash  [fireworks_ai/chat] 入$0.15 出$0.5
+ fireworks_ai/accounts/fireworks/models/inkling  [fireworks_ai/chat] 入$1 出$4.05
+ gemini-3.8-flash  [vertex_ai-language-models/chat] 入$0.75 出$3.75
+ gemini/gemini-3.8-flash  [gemini/chat] 入$0.75 出$3.75
+ gpt-6-astra  [openai/chat] 入$10 出$50
+ meta/muse-spark-1.3  [meta/chat] 入$1.25 出$4.25
+ meta/muse-spark-1.3-contributor  [meta/chat] 入$0.1 出$0.2
+ scaleway/deepseek-v4-flash-0731  [scaleway/chat] 入$0.4 出$0.8
+ scaleway/glm-5.2  [scaleway/chat] 入$1.8 出$5.5
+ us-gov.anthropic.claude-opus-4-8  [bedrock_converse/chat] 入$6 出$30
+ us-gov.anthropic.claude-sonnet-5  [bedrock_converse/chat] 入$2.4 出$12
+ vertex_ai/gemini-3.8-flash  [vertex_ai/chat] 入$0.75 出$3.75
+ voyage/rerank-3  [voyage/rerank] 入$0.05 出$0
+ voyage/rerank-3-lite  [voyage/rerank] 入$0.02 出$0
+ xai/grok-build-latest  [xai/chat] 入$2 出$6

--- 减少模型（1）---
- azure_ai/deepseek-v4-flash-0731  [azure_ai/chat] 入$0.19 出$0.51

--- 发生变更（29）---
~ azure_ai/MAI-Image-2.5  [azure_ai/image_generation] 入$5 出- 图$0.05
~ azure_ai/MAI-Image-2.5-Flash  [azure_ai/image_generation] 入$1.75 出- 图$0.0338
~ azure_ai/deepseek-v4-flash  [azure_ai/chat] 入$0.19 出$0.51
~ azure_ai/deepseek-v4-pro  [azure_ai/chat] 入$1.74 出$3.48
~ azure_ai/kimi-k2.5  [azure_ai/chat] 入$0.6 出$3
~ azure_ai/kimi-k2.6  [azure_ai/chat] 入$0.95 出$4
~ bedrock/us-gov-west-1/meta.llama3-8b-instruct-v1:0  [bedrock/chat] 入$0.3 出$0.6
~ bedrock_mantle/openai.gpt-5.4  [bedrock_mantle/responses] 入$2.75 出$16.5
~ bedrock_mantle/openai.gpt-5.5  [bedrock_mantle/responses] 入$5.5 出$33
~ bedrock_mantle/openai.gpt-5.6-luna  [bedrock_mantle/responses] 入$0.22 出$1.32
~ bedrock_mantle/openai.gpt-5.6-sol  [bedrock_mantle/responses] 入$5.5 出$33
~ bedrock_mantle/openai.gpt-5.6-terra  [bedrock_mantle/responses] 入$2.2 出$13.2
~ gpt-5.4  [openai/chat] 入$2.5 出$15
~ gpt-5.4-2026-03-05  [openai/chat] 入$2.5 出$15
~ gpt-5.4-pro  [openai/responses] 入$30 出$180
~ gpt-5.4-pro-2026-03-05  [openai/responses] 入$30 出$180
~ gpt-5.5  [openai/chat] 入$5 出$30
~ gpt-5.5-2026-04-23  [openai/chat] 入$5 出$30
~ gpt-5.6  [openai/chat] 入$4 出$20
~ gpt-5.6-luna  [openai/chat] 入$0.2 出$1.2
~ gpt-5.6-sol  [openai/chat] 入$4 出$20
~ gpt-5.6-terra  [openai/chat] 入$2 出$12
~ gpt-realtime-2  [openai/realtime] 入$4 出$24
~ gpt-realtime-2.1-mini  [openai/realtime] 入$0.6 出$2.4
~ gpt-realtime-mini  [openai/realtime] 入$0.6 出$2.4
~ mistral/magistral-medium-latest  [mistral/chat] 入$1.5 出$7.5
~ mistral/magistral-small-latest  [mistral/chat] 入$0.15 出$0.6
~ mistral/mistral-medium  [mistral/chat] 入$1.5 出$7.5
~ together_ai/Qwen/Qwen3.8-2.4T-A95B  [together_ai/chat] 入$2 出$6

--- 补丁变更（add-on-data.json）---
~ 修正补丁 dashscope/MiniMax-M2.1  [dashscope/chat] 入$0.35 出$1.4
