===== 2026-09-06 13:31:07 更新 =====
新增 288 / 减少 0 / 变更 135

--- 新增模型（288）---
+ azure/gpt-6-astra  [azure/chat] 入$10 出$50
+ azure/gpt-realtime-2  [azure/realtime] 入$4 出$24
+ azure/gpt-realtime-2.1  [azure/realtime] 入$4 出$24
+ azure/gpt-realtime-2.1-mini  [azure/realtime] 入$0.6 出$2.4
+ azure/us/gpt-6-astra  [azure/chat] 入$11 出$55
+ azure_ai/Codestral-2501  [azure_ai/chat] 入$0.3 出$0.9
+ azure_ai/Cohere-parse-v5  [azure_ai/ocr] 入- 出-
+ azure_ai/FW-Nemotron-Lightning-3.5-30B-A3B  [azure_ai/chat] 入$0.06 出$0.22
+ azure_ai/MAI-Thinking-1  [azure_ai/chat] 入$2 出$8
+ azure_ai/gpt-6-astra  [azure_ai/chat] 入$10 出$50
+ azure_ai/mistral-ocr-4-0  [azure_ai/ocr] 入- 出-
+ baseten/zai-org/GLM-5.3  [baseten/chat] 入$1.4 出$4.4
+ bedrock/us-gov-east-1/anthropic.claude-fable-5-1  [bedrock/chat] 入$12 出$60
+ bedrock/us-gov-east-1/anthropic.claude-opus-5  [bedrock/chat] 入$6 出$30
+ bedrock/us-gov-east-1/nvidia.nemotron-nano-9b-v2  [bedrock/chat] 入$0.072 出$0.276
+ bedrock/us-gov-west-1/amazon.nova-2-multimodal-embeddings-v1:0  [bedrock/embedding] 入$0.162 出$0
+ bedrock/us-gov-west-1/amazon.nova-lite-v1:0  [bedrock/chat] 入$0.072 出$0.288
+ bedrock/us-gov-west-1/amazon.nova-micro-v1:0  [bedrock/chat] 入$0.042 出$0.168
+ bedrock/us-gov-west-1/anthropic.claude-fable-5-1  [bedrock/chat] 入$12 出$60
+ bedrock/us-gov-west-1/anthropic.claude-opus-5  [bedrock/chat] 入$6 出$30
+ bedrock/us-gov-west-1/nvidia.nemotron-nano-9b-v2  [bedrock/chat] 入$0.072 出$0.276
+ bedrock_mantle/us-gov-east-1/openai.gpt-oss-120b  [bedrock_mantle/chat] 入$0.18 出$0.72
+ bedrock_mantle/us-gov-east-1/openai.gpt-oss-20b  [bedrock_mantle/chat] 入$0.084 出$0.36
+ bedrock_mantle/us-gov-east-1/xai.grok-4.6  [bedrock_mantle/chat] 入$2.64 出$7.92
+ bedrock_mantle/us-gov-west-1/google.gemma-4-26b-a4b  [bedrock_mantle/chat] 入$0.156 出$0.48
+ bedrock_mantle/us-gov-west-1/google.gemma-4-31b  [bedrock_mantle/chat] 入$0.168 出$0.48
+ bedrock_mantle/us-gov-west-1/google.gemma-4-e2b  [bedrock_mantle/chat] 入$0.048 出$0.096
+ bedrock_mantle/us-gov-west-1/openai.gpt-oss-120b  [bedrock_mantle/chat] 入$0.18 出$0.72
+ bedrock_mantle/us-gov-west-1/openai.gpt-oss-20b  [bedrock_mantle/chat] 入$0.084 出$0.36
+ bedrock_mantle/us-gov-west-1/xai.grok-4.6  [bedrock_mantle/chat] 入$2.64 出$7.92
+ claude-mythos-5-1  [anthropic/chat] 入$10 出$50
+ cohere/parse-v5.0  [cohere/ocr] 入- 出-
+ databricks/databricks-claude-fable-5-1  [databricks/chat] 入$10 出$50
+ databricks/databricks-gemini-3-1-flash-image  [databricks/chat] 入- 出-
+ databricks/databricks-gemini-3-5-flash  [databricks/chat] 入$1.875 出$11.25
+ databricks/databricks-gemini-3-5-flash-lite  [databricks/chat] 入$0.375 出$3.125
+ databricks/databricks-gemini-3-6-flash  [databricks/chat] 入$1.875 出$9.375
+ databricks/databricks-gemini-3-7-flash  [databricks/chat] 入- 出-
+ databricks/databricks-gemini-3-8-flash  [databricks/chat] 入- 出-
+ databricks/databricks-gemini-3-pro-image  [databricks/chat] 入- 出-
+ databricks/databricks-glm-5-3  [databricks/chat] 入$1.4 出$4.4
+ databricks/databricks-gpt-5-5  [databricks/responses] 入$5 出$30
+ databricks/databricks-gpt-5-5-pro  [databricks/responses] 入$30 出$180
+ databricks/databricks-gpt-5-6-luna  [databricks/chat] 入$1 出$6
+ databricks/databricks-gpt-5-6-sol  [databricks/chat] 入$4 出$20
+ databricks/databricks-gpt-5-6-terra  [databricks/chat] 入$2.5 出$15
+ databricks/databricks-grok-4-6  [databricks/chat] 入$2.5 出$7.5
+ databricks/databricks-inkling  [databricks/chat] 入$1 出$4.05
+ databricks/databricks-qwen3-embedding-0-6b  [databricks/embedding] 入$0.02002 出$0
+ databricks/databricks-qwen3-next-80b-a3b-instruct  [databricks/chat] 入$0.15 出$1.2
+ databricks/databricks-qwen35-122b-a10b  [databricks/chat] 入$0.22 出$2.2
+ fireworks_ai/accounts/fireworks/models/deepseek-v4-flash-vision-exp  [fireworks_ai/chat] 入$0.22 出$0.66
+ fireworks_ai/deepseek-v4-flash-vision-exp  [fireworks_ai/chat] 入$0.22 出$0.66
+ gemini/lyria-3.5-clip-preview  [gemini/chat] 入$0 出$0 图$0.04
+ gemini/lyria-3.5-pro-preview  [gemini/chat] 入$0 出$0 图$0.08
+ gpt-daybreak-blue-latest  [openai/responses] 入$4 出$20
+ gpt-daybreak-red-latest  [openai/responses] 入$12.5 出$75
+ nebius/MiniMaxAI/MiniMax-M2.5  [nebius/chat] 入$0.3 出$1.2
+ nebius/MiniMaxAI/MiniMax-M3  [nebius/chat] 入$0.3 出$1.2
+ nebius/NousResearch/Hermes-4-405B  [nebius/chat] 入$1 出$3
+ nebius/NousResearch/Hermes-4-70B  [nebius/chat] 入$0.13 出$0.4
+ nebius/Qwen/Qwen3-235B-A22B-Instruct-2507  [nebius/chat] 入$0.2 出$0.6
+ nebius/Qwen/Qwen3-30B-A3B-Instruct-2507  [nebius/chat] 入$0.1 出$0.3
+ nebius/Qwen/Qwen3-Embedding-8B  [nebius/embedding] 入$0.01 出$0
+ nebius/Qwen/Qwen3-Next-80B-A3B-Thinking  [nebius/chat] 入$0.15 出$1.2
+ nebius/Qwen/Qwen3.5-397B-A17B  [nebius/chat] 入$0.6 出$3.6
+ nebius/deepseek-ai/DeepSeek-V4-Flash  [nebius/chat] 入$0.14 出$0.28
+ nebius/deepseek-ai/DeepSeek-V4-Flash-0731  [nebius/chat] 入$0.14 出$0.28
+ nebius/deepseek-ai/DeepSeek-V4-Pro  [nebius/chat] 入$1.75 出$3.5
+ nebius/moonshotai/Kimi-K2.6  [nebius/chat] 入$0.95 出$4
+ nebius/moonshotai/Kimi-K2.7-Code  [nebius/chat] 入$0.95 出$4
+ nebius/moonshotai/Kimi-K3  [nebius/chat] 入$3 出$15
+ nebius/nvidia/Cosmos3-Super-Reasoner  [nebius/chat] 入$0.1 出$0.3
+ nebius/nvidia/Llama-3_1-Nemotron-Ultra-253B-v1  [nebius/chat] 入$0.6 出$1.8
+ nebius/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B  [nebius/chat] 入$0.06 出$0.24
+ nebius/nvidia/Nemotron-3-Nano-Omni  [nebius/chat] 入$0.06 出$0.24
+ nebius/nvidia/Nemotron-3-Ultra-550b-a55b  [nebius/chat] 入$1 出$3
+ nebius/nvidia/Nemotron-3_5-Lightning  [nebius/chat] 入$0.06 出$0.24
+ nebius/nvidia/nemotron-3-super-120b-a12b  [nebius/chat] 入$0.3 出$0.9
+ nebius/openai/gpt-oss-120b  [nebius/chat] 入$0.15 出$0.6
+ nebius/openbmb/MiniCPM-V-4_5  [nebius/chat] 入$0.658 出$1.11
+ nebius/zai-org/GLM-5.1  [nebius/chat] 入$1.4 出$4.4
+ nebius/zai-org/GLM-5.2  [nebius/chat] 入$1.4 出$4.4
+ nebius/zai-org/GLM-5.3-Flash  [nebius/chat] 入$0.15 出$0.5
+ openrouter/anthropic/claude-fable-5  [openrouter/chat] 入$10 出$50
+ openrouter/anthropic/claude-fable-5.1  [openrouter/chat] 入$10 出$50
+ openrouter/anthropic/claude-opus-4.8  [openrouter/chat] 入$5 出$25
+ openrouter/anthropic/claude-sonnet-5  [openrouter/chat] 入$2 出$10
+ openrouter/deepseek/deepseek-r1-distill-llama-70b  [openrouter/chat] 入$0.8 出$0.8
+ openrouter/deepseek/deepseek-v3.1-terminus  [openrouter/chat] 入$0.27 出$1
+ openrouter/deepseek/deepseek-v4-flash  [openrouter/chat] 入$0.08778 出$0.1756
+ openrouter/deepseek/deepseek-v4-flash-0731  [openrouter/chat] 入$0.065 出$0.18
+ openrouter/deepseek/deepseek-v4-flash-vision-exp  [openrouter/chat] 入$0.22 出$0.66
+ openrouter/google/gemini-2.5-flash-image  [openrouter/chat] 入$0.3 出$2.5
+ openrouter/google/gemini-2.5-flash-lite  [openrouter/chat] 入$0.1 出$0.4
+ openrouter/google/gemini-2.5-pro-preview  [openrouter/chat] 入$1.25 出$10
+ openrouter/google/gemini-2.5-pro-preview-05-06  [openrouter/chat] 入$1.25 出$10
+ openrouter/google/gemini-3-pro-image  [openrouter/chat] 入$2 出$12
+ openrouter/google/gemini-3-pro-image-preview  [openrouter/chat] 入$2 出$12
+ openrouter/google/gemini-3.1-flash-image  [openrouter/chat] 入$0.5 出$3
+ openrouter/google/gemini-3.1-flash-image-preview  [openrouter/chat] 入$0.5 出$3
+ openrouter/google/gemini-3.1-flash-lite-image  [openrouter/chat] 入$0.25 出$1.5
+ openrouter/google/gemini-3.1-pro-preview-customtools  [openrouter/chat] 入$2 出$12
+ openrouter/google/gemini-3.5-flash  [openrouter/chat] 入$1.5 出$9
+ openrouter/google/gemini-3.5-flash-lite  [openrouter/chat] 入$0.3 出$2.5
+ openrouter/google/gemini-3.6-flash  [openrouter/chat] 入$0.75 出$3.75
+ openrouter/google/gemini-3.7-flash  [openrouter/chat] 入$0.75 出$3.75
+ openrouter/google/gemini-3.8-flash  [openrouter/chat] 入$0.75 出$3.75
+ openrouter/google/gemma-2-27b-it  [openrouter/chat] 入$0.65 出$0.65
+ openrouter/google/gemma-3-12b-it  [openrouter/chat] 入$0.05 出$0.15
+ openrouter/google/gemma-3-27b-it  [openrouter/chat] 入$0.08 出$0.45
+ openrouter/google/gemma-3-4b-it  [openrouter/chat] 入$0.05 出$0.1
+ openrouter/google/gemma-4-26b-a4b-it  [openrouter/chat] 入$0.07 出$0.34
+ openrouter/google/gemma-4-26b-a4b-it:free  [openrouter/chat] 入$0 出$0
+ openrouter/google/gemma-4-31b-it  [openrouter/chat] 入$0.09 出$0.34
+ openrouter/google/gemma-4-31b-it:free  [openrouter/chat] 入$0 出$0
+ openrouter/meta-llama/llama-3.1-70b-instruct  [openrouter/chat] 入$0.4 出$0.4
+ openrouter/meta-llama/llama-3.1-8b-instruct  [openrouter/chat] 入$0.05 出$0.08
+ openrouter/meta-llama/llama-3.2-1b-instruct  [openrouter/chat] 入$0.027 出$0.201
+ openrouter/meta-llama/llama-3.2-3b-instruct  [openrouter/chat] 入$0.05 出$0.33
+ openrouter/meta-llama/llama-3.3-70b-instruct  [openrouter/chat] 入$0.1 出$0.32
+ openrouter/meta-llama/llama-4-maverick  [openrouter/chat] 入$0.2 出$0.696
+ openrouter/meta-llama/llama-4-scout  [openrouter/chat] 入$0.1 出$0.3
+ openrouter/meta-llama/llama-guard-4-12b  [openrouter/chat] 入$0.18 出$0.18
+ openrouter/minimax/minimax-01  [openrouter/chat] 入$0.2 出$1.1
+ openrouter/minimax/minimax-m1  [openrouter/chat] 入$0.55 出$2.2
+ openrouter/minimax/minimax-m2-her  [openrouter/chat] 入$0.3 出$1.2
+ openrouter/minimax/minimax-m2.7  [openrouter/chat] 入$0.3 出$1.2
+ openrouter/minimax/minimax-m2.7:free  [openrouter/chat] 入$0 出$0
+ openrouter/minimax/minimax-m3  [openrouter/chat] 入$0.3 出$1.2
+ openrouter/minimax/minimax-m3:free  [openrouter/chat] 入$0 出$0
+ openrouter/mistralai/codestral-2508  [openrouter/chat] 入$0.3 出$0.9
+ openrouter/mistralai/mistral-large-2407  [openrouter/chat] 入$2 出$6
+ openrouter/mistralai/mistral-medium-3  [openrouter/chat] 入$0.4 出$2
+ openrouter/mistralai/mistral-medium-3-5  [openrouter/chat] 入$1.5 出$7.5
+ openrouter/mistralai/mistral-medium-3.1  [openrouter/chat] 入$0.4 出$2
+ openrouter/mistralai/mistral-nemo  [openrouter/chat] 入$0.019 出$0.03
+ openrouter/mistralai/mistral-saba  [openrouter/chat] 入$0.2 出$0.6
+ openrouter/mistralai/mistral-small-24b-instruct-2501  [openrouter/chat] 入$0.05 出$0.08
+ openrouter/mistralai/mistral-small-2603  [openrouter/chat] 入$0.15 出$0.6
+ openrouter/mistralai/voxtral-small-24b-2507  [openrouter/chat] 入$0.1 出$0.3
+ openrouter/moonshotai/kimi-k2  [openrouter/chat] 入$0.57 出$2.3
+ openrouter/moonshotai/kimi-k2-0905  [openrouter/chat] 入$0.6 出$2.5
+ openrouter/moonshotai/kimi-k2-thinking  [openrouter/chat] 入$0.6 出$2.5
+ openrouter/moonshotai/kimi-k2.6  [openrouter/chat] 入$0.95 出$4
+ openrouter/moonshotai/kimi-k2.7-code  [openrouter/chat] 入$0.66 出$3.4
+ openrouter/moonshotai/kimi-k3  [openrouter/chat] 入$3 出$15
+ openrouter/nvidia/nemotron-3-nano-30b-a3b  [openrouter/chat] 入$0.05 出$0.2
+ openrouter/nvidia/nemotron-3-nano-omni-30b-a3b-reasoning:free  [openrouter/chat] 入$0 出$0
+ openrouter/nvidia/nemotron-3-super-120b-a12b  [openrouter/chat] 入$0.085 出$0.4
+ openrouter/nvidia/nemotron-3-super-120b-a12b:free  [openrouter/chat] 入$0 出$0
+ openrouter/nvidia/nemotron-3-ultra-550b-a55b  [openrouter/chat] 入$0.625 出$3.125
+ openrouter/nvidia/nemotron-3-ultra-550b-a55b:free  [openrouter/chat] 入$0 出$0
+ openrouter/nvidia/nemotron-3.5-content-safety  [openrouter/chat] 入$0.2 出$0.2
+ openrouter/nvidia/nemotron-3.5-content-safety:free  [openrouter/chat] 入$0 出$0
+ openrouter/nvidia/nemotron-3.5-lightning:free  [openrouter/chat] 入$0 出$0
+ openrouter/openai/gpt-3.5-turbo-instruct  [openrouter/chat] 入$1.5 出$2
+ openrouter/openai/gpt-4-turbo  [openrouter/chat] 入$10 出$30
+ openrouter/openai/gpt-4-turbo-preview  [openrouter/chat] 入$10 出$30
+ openrouter/openai/gpt-4o-2024-08-06  [openrouter/chat] 入$2.5 出$10
