===== 2026-09-11 02:17:03 更新 =====
新增 29 / 减少 0 / 变更 113

--- 新增模型（29）---
+ bedrock_mantle/openai.gpt-6-astra  [bedrock_mantle/responses] 入$11 出$55
+ bedrock_mantle/openai.gpt-daybreak-blue-5.6-sol  [bedrock_mantle/responses] 入$5.5 出$33
+ chatgpt/gpt-5.5  [chatgpt/responses] 入- 出-
+ chatgpt/gpt-5.6-luna  [chatgpt/responses] 入- 出-
+ chatgpt/gpt-5.6-sol  [chatgpt/responses] 入- 出-
+ chatgpt/gpt-5.6-terra  [chatgpt/responses] 入- 出-
+ gemini/lyria-3.5  [gemini/chat] 入$0 出$0 图$0.08
+ global.cohere.embed-v4:0  [bedrock/embedding] 入$0.12 出$0
+ global.openai.gpt-6-astra  [bedrock_converse/chat] 入$10 出$50
+ global.twelvelabs.pegasus-1-2-v1:0  [bedrock/chat] 入- 出$7.5
+ gpt-image-2.5-flare  [openai/image_generation] 入$5 出-
+ gpt-image-2.5-flare-2026-09-08  [openai/image_generation] 入$5 出-
+ gpt-image-2.5-sunburst  [openai/image_generation] 入$5 出-
+ gpt-image-2.5-sunburst-2026-09-08  [openai/image_generation] 入$5 出-
+ openrouter/openai/gpt-5.6-sol  [openrouter/chat] 入$2 出$10
+ rerank-v4.0-fast  [cohere/rerank] 入$0 出$0
+ rerank-v4.0-pro  [cohere/rerank] 入$0 出$0
+ us.cohere.embed-v4:0  [bedrock/embedding] 入$0.12 出$0
+ us.openai.gpt-6-astra  [bedrock_converse/chat] 入$11 出$55
+ vertex_ai/gemini-3.5-live-translate-preview  [vertex_ai/realtime] 入$3.5 出$21
+ vertex_ai/xai/grok-4.3  [vertex_ai/chat] 入$1.25 出$2.5
+ vertex_ai/xai/grok-4.6  [vertex_ai/chat] 入$2 出$6
+ voyage/voyage-multilingual-2  [voyage/embedding] 入$0.12 出$0
+ wandb/deepseek-ai/DeepSeek-V4-Pro-0813  [wandb/chat] 入$1.31 出$3.96
+ wandb/ibm-granite/granite-4.2-8b  [wandb/chat] 入$0.1 出$0.15
+ xai/grok-imagine-video  [xai/video_generation] 入- 出-
+ xai/grok-imagine-video-1.5  [xai/video_generation] 入- 出-
+ xai/grok-imagine-video-1.5-2026-05-30  [xai/video_generation] 入- 出-
+ xai/grok-imagine-video-1.5-preview  [xai/video_generation] 入- 出-

--- 发生变更（113）---
~ amazon.nova-2-lite-v1:0  [bedrock_converse/chat] 入$0.3 出$2.5
~ amazon.nova-2-pro-preview-20251202-v1:0  [bedrock_converse/chat] 入$2.188 出$17.5
~ amazon.nova-lite-v1:0  [bedrock_converse/chat] 入$0.06 出$0.24
~ amazon.nova-micro-v1:0  [bedrock_converse/chat] 入$0.035 出$0.14
~ amazon.nova-pro-v1:0  [bedrock_converse/chat] 入$0.8 出$3.2
~ apac.amazon.nova-2-lite-v1:0  [bedrock_converse/chat] 入$0.33 出$2.75
~ apac.amazon.nova-2-pro-preview-20251202-v1:0  [bedrock_converse/chat] 入$2.188 出$17.5
~ apac.amazon.nova-lite-v1:0  [bedrock_converse/chat] 入$0.063 出$0.252
~ apac.amazon.nova-micro-v1:0  [bedrock_converse/chat] 入$0.037 出$0.148
~ apac.amazon.nova-pro-v1:0  [bedrock_converse/chat] 入$0.84 出$3.36
~ azure/eu/gpt-5.5-2026-04-23  [azure/chat] 入$5.5 出$33
~ azure/gpt-5.5-2026-04-23  [azure/chat] 入$5 出$30
~ azure/us/gpt-5.5-2026-04-23  [azure/chat] 入$5.5 出$33
~ bedrock/us-gov-east-1/amazon.nova-pro-v1:0  [bedrock/chat] 入$0.96 出$3.84
~ bedrock/us-gov-west-1/amazon.nova-lite-v1:0  [bedrock/chat] 入$0.072 出$0.288
~ bedrock/us-gov-west-1/amazon.nova-micro-v1:0  [bedrock/chat] 入$0.042 出$0.168
~ bedrock/us-gov-west-1/amazon.nova-pro-v1:0  [bedrock/chat] 入$0.96 出$3.84
~ bedrock_mantle/openai.gpt-oss-20b  [bedrock_mantle/chat] 入$0.07 出$0.3
~ bedrock_mantle/openai.gpt-oss-safeguard-20b  [bedrock_mantle/chat] 入$0.07 出$0.2
~ cloudflare/@cf/aisingapore/gemma-sea-lion-v4-27b-it  [cloudflare/chat] 入$0.351 出$0.555
~ cloudflare/@cf/deepseek-ai/deepseek-r1-distill-qwen-32b  [cloudflare/chat] 入$0.497 出$4.881
~ cloudflare/@cf/google/gemma-2b-it-lora  [cloudflare/chat] 入$0 出$0
~ cloudflare/@cf/google/gemma-4-26b-a4b-it  [cloudflare/chat] 入$0.1 出$0.3
~ cloudflare/@cf/google/gemma-7b-it-lora  [cloudflare/chat] 入$0 出$0
~ cloudflare/@cf/ibm-granite/granite-4.0-h-micro  [cloudflare/chat] 入$0.017 出$0.112
~ cloudflare/@cf/meta-llama/llama-2-7b-chat-hf-lora  [cloudflare/chat] 入$0 出$0
~ cloudflare/@cf/meta/llama-2-7b-chat-fp16  [cloudflare/chat] 入$1.923 出$1.923
~ cloudflare/@cf/meta/llama-2-7b-chat-int8  [cloudflare/chat] 入$1.923 出$1.923
~ cloudflare/@cf/meta/llama-3.1-8b-instruct-fp8  [cloudflare/chat] 入$0.152 出$0.287
~ cloudflare/@cf/meta/llama-3.2-11b-vision-instruct  [cloudflare/chat] 入$0.0485 出$0.676
~ cloudflare/@cf/meta/llama-3.2-1b-instruct  [cloudflare/chat] 入$0.027 出$0.201
~ cloudflare/@cf/meta/llama-3.2-3b-instruct  [cloudflare/chat] 入$0.0509 出$0.335
~ cloudflare/@cf/meta/llama-3.3-70b-instruct-fp8-fast  [cloudflare/chat] 入$0.293 出$2.253
~ cloudflare/@cf/meta/llama-4-scout-17b-16e-instruct  [cloudflare/chat] 入$0.27 出$0.85
~ cloudflare/@cf/meta/llama-guard-3-8b  [cloudflare/chat] 入$0.484 出$0.03
~ cloudflare/@cf/mistral/mistral-7b-instruct-v0.1  [cloudflare/chat] 入$1.923 出$1.923
~ cloudflare/@cf/mistral/mistral-7b-instruct-v0.2-lora  [cloudflare/chat] 入$0 出$0
~ cloudflare/@cf/mistralai/mistral-small-3.1-24b-instruct  [cloudflare/chat] 入$0.351 出$0.555
~ cloudflare/@cf/moonshotai/kimi-k2.6  [cloudflare/chat] 入$0.95 出$4
~ cloudflare/@cf/moonshotai/kimi-k2.7-code  [cloudflare/chat] 入$0.95 出$4
~ cloudflare/@cf/nvidia/nemotron-3-120b-a12b  [cloudflare/chat] 入$0.5 出$1.5
~ cloudflare/@cf/openai/gpt-oss-120b  [cloudflare/chat] 入$0.35 出$0.75
~ cloudflare/@cf/openai/gpt-oss-20b  [cloudflare/chat] 入$0.2 出$0.3
~ cloudflare/@cf/openai/whisper  [cloudflare/audio_transcription] 入- 出-
~ cloudflare/@cf/openai/whisper-large-v3-turbo  [cloudflare/audio_transcription] 入- 出-
~ cloudflare/@cf/qwen/qwen2.5-coder-32b-instruct  [cloudflare/chat] 入$0.66 出$1
~ cloudflare/@cf/qwen/qwen3-30b-a3b-fp8  [cloudflare/chat] 入$0.0509 出$0.335
~ cloudflare/@cf/qwen/qwq-32b  [cloudflare/chat] 入$0.66 出$1
~ cloudflare/@cf/zai-org/glm-4.7-flash  [cloudflare/chat] 入$0.0605 出$0.4
~ cloudflare/@cf/zai-org/glm-5.2  [cloudflare/chat] 入$1.4 出$4.4
~ cloudflare/@hf/thebloke/codellama-7b-instruct-awq  [cloudflare/chat] 入$1.923 出$1.923
~ eu.amazon.nova-2-lite-v1:0  [bedrock_converse/chat] 入$0.33 出$2.75
~ eu.amazon.nova-2-pro-preview-20251202-v1:0  [bedrock_converse/chat] 入$2.188 出$17.5
~ eu.amazon.nova-lite-v1:0  [bedrock_converse/chat] 入$0.078 出$0.312
~ eu.amazon.nova-micro-v1:0  [bedrock_converse/chat] 入$0.046 出$0.184
~ eu.amazon.nova-pro-v1:0  [bedrock_converse/chat] 入$1.05 出$4.2
~ eu.anthropic.claude-3-5-haiku-20241022-v1:0  [bedrock/chat] 入$0.8 出$4
~ fallback_generalizations  [/] 入- 出-
~ gemini-live-2.5-flash-native-audio  [vertex_ai-language-models/realtime] 入$0.5 出$2
~ global.amazon.nova-2-lite-v1:0  [bedrock_converse/chat] 入$0.3 出$2.5
~ gpt-4o-mini  [openai/chat] 入$0.15 出$0.6
~ gpt-4o-mini-2024-07-18  [openai/chat] 入$0.15 出$0.6
~ gpt-4o-mini-search-preview  [openai/chat] 入$0.15 出$0.6
~ gpt-4o-mini-search-preview-2025-03-11  [openai/chat] 入$0.15 出$0.6
~ gpt-4o-search-preview  [openai/chat] 入$2.5 出$10
~ gpt-4o-search-preview-2025-03-11  [openai/chat] 入$2.5 出$10
~ gpt-5.1  [openai/chat] 入$1.25 出$10
~ gpt-5.1-2025-11-13  [openai/chat] 入$1.25 出$10
~ gpt-5.2  [openai/chat] 入$1.75 出$14
~ gpt-5.2-2025-12-11  [openai/chat] 入$1.75 出$14
~ gpt-5.4  [openai/chat] 入$2.5 出$15
~ gpt-5.4-2026-03-05  [openai/chat] 入$2.5 出$15
~ gpt-5.4-pro  [openai/responses] 入$30 出$180
~ gpt-5.4-pro-2026-03-05  [openai/responses] 入$30 出$180
~ jina-reranker-v2-base-multilingual  [jina_ai/rerank] 入$0.05 出$0
~ scaleway/google/gemma-3-27b-it  [scaleway/chat] 入$0.25 出$0.5
~ scaleway/hcompany/holo2-30b-a3b  [scaleway/chat] 入$0.3 出$0.7
~ scaleway/mistralai/devstral-2-123b-instruct-2512  [scaleway/chat] 入$0.4 出$2
~ scaleway/mistralai/pixtral-12b-2409  [scaleway/chat] 入$0.2 出$0.2
~ scaleway/mistralai/voxtral-small-24b-2507  [scaleway/chat] 入$0.15 出$0.35
~ scaleway/qwen/qwen3-coder-30b-a3b-instruct  [scaleway/chat] 入$0.2 出$0.8
~ us.amazon.nova-2-lite-v1:0  [bedrock_converse/chat] 入$0.33 出$2.75
~ us.amazon.nova-2-pro-preview-20251202-v1:0  [bedrock_converse/chat] 入$2.188 出$17.5
