===== 2026-09-13 13:31:27 更新 =====
新增 33 / 减少 0 / 变更 97

--- 新增模型（33）---
+ cerebras/qwen-3.8-27b  [cerebras/chat] 入$0.99 出$1.49
+ deepseek/deepseek-flash  [deepseek/chat] 入$0.3 出$1.2
+ fireworks_ai/accounts/fireworks/models/deepseek-v4p1-flash  [fireworks_ai/chat] 入$0.22 出$0.66
+ fireworks_ai/deepseek-v4p1-flash  [fireworks_ai/chat] 入$0.22 出$0.66
+ friendliai/LGAI-EXAONE/K-EXAONE-2.0-750B-A37B  [friendliai/chat] 入$0.6 出$2.4
+ friendliai/MiniMaxAI/MiniMax-M2.5  [friendliai/chat] 入$0.3 出$1.2
+ friendliai/deepseek-ai/DeepSeek-V3.2  [friendliai/chat] 入$0.5 出$1.5
+ friendliai/google/gemma-4-31B-it  [friendliai/chat] 入$0.14 出$0.4
+ friendliai/zai-org/GLM-5.1  [friendliai/chat] 入$1.4 出$4.4
+ friendliai/zai-org/GLM-5.2  [friendliai/chat] 入$1.4 出$4.4
+ gpt-live-1  [openai/realtime] 入- 出-
+ inception/mercury-2.5  [inception/chat] 入$0.2 出$0.75
+ meta/muse-voice-transcribe-1.0  [meta/audio_transcription] 入- 出-
+ openrouter/deepseek/deepseek-v4.1-flash  [openrouter/chat] 入$0.15 出$0.6
+ openrouter/openai/gpt-5.6-luna-pro  [openrouter/chat] 入$0.2 出$1.2
+ openrouter/openai/gpt-5.6-sol-pro  [openrouter/chat] 入$2 出$10
+ openrouter/openai/gpt-5.6-terra-pro  [openrouter/chat] 入$2 出$12
+ openrouter/openai/gpt-6-astra-pro  [openrouter/chat] 入$10 出$50
+ openrouter/openai/gpt-chat-latest  [openrouter/chat] 入$5 出$30
+ openrouter/qwen/qwen3.8-max-0902  [openrouter/chat] 入$2 出$6
+ together_ai/MiniMaxAI/MiniMax-M2.7  [together_ai/chat] 入$0.3 出$1.2
+ together_ai/Qwen/QwQ-32B  [together_ai/chat] 入$1.2 出$1.2
+ together_ai/Qwen/Qwen3-Coder-Next-FP8  [together_ai/chat] 入$0.5 出$1.2
+ together_ai/Qwen/Qwen3-VL-32B-Instruct  [together_ai/chat] 入$0.5 出$1.5
+ together_ai/Qwen/Qwen3-VL-8B-Instruct  [together_ai/chat] 入$0.18 出$0.68
+ together_ai/deepseek-ai/DeepSeek-R1-0528  [together_ai/chat] 入$3 出$7
+ together_ai/mistralai/Ministral-3-14B-Instruct-2512  [together_ai/chat] 入$0.2 出$0.2
+ together_ai/mistralai/Mistral-7B-Instruct-v0.3  [together_ai/chat] 入$0.2 出$0.2
+ together_ai/moonshotai/Kimi-K2.5-fp4  [together_ai/chat] 入$0.5 出$2.8
+ together_ai/moonshotai/Kimi-K2.6  [together_ai/chat] 入$1.2 出$4.5
+ together_ai/nvidia/NVIDIA-Nemotron-Nano-9B-v2  [together_ai/chat] 入$0.06 出$0.25
+ together_ai/zai-org/GLM-5  [together_ai/chat] 入$1 出$3.2
+ together_ai/zai-org/GLM-5.1  [together_ai/chat] 入$1.4 出$4.4

--- 发生变更（97）---
~ azure/eu/o1-2024-12-17  [azure/chat] 入$16.5 出$66
~ azure/eu/o3-mini-2025-01-31  [azure/chat] 入$1.21 出$4.84
~ azure/o1  [azure/chat] 入$15 出$60
~ azure/o1-2024-12-17  [azure/chat] 入$15 出$60
~ azure/o3  [azure/chat] 入$2 出$8
~ azure/o3-2025-04-16  [azure/chat] 入$2 出$8
~ azure/o3-deep-research  [azure/responses] 入$10 出$40
~ azure/o3-mini  [azure/chat] 入$1.1 出$4.4
~ azure/o3-mini-2025-01-31  [azure/chat] 入$1.1 出$4.4
~ azure/o3-pro  [azure/responses] 入$20 出$80
~ azure/o3-pro-2025-06-10  [azure/responses] 入$20 出$80
~ azure/o4-mini  [azure/chat] 入$1.1 出$4.4
~ azure/o4-mini-2025-04-16  [azure/chat] 入$1.1 出$4.4
~ azure/us/o1-2024-12-17  [azure/chat] 入$16.5 出$66
~ azure/us/o3-2025-04-16  [azure/chat] 入$2.2 出$8.8
~ azure/us/o3-mini-2025-01-31  [azure/chat] 入$1.21 出$4.84
~ azure/us/o4-mini-2025-04-16  [azure/chat] 入$1.21 出$4.84
~ bedrock_mantle/openai.gpt-5.4  [bedrock_mantle/responses] 入$2.75 出$16.5
~ bedrock_mantle/openai.gpt-5.5  [bedrock_mantle/responses] 入$5.5 出$33
~ bedrock_mantle/openai.gpt-5.6-cyber  [bedrock_mantle/responses] 入$13.75 出$82.5
~ bedrock_mantle/openai.gpt-5.6-luna  [bedrock_mantle/responses] 入$0.22 出$1.32
~ bedrock_mantle/openai.gpt-5.6-sol  [bedrock_mantle/responses] 入$5.5 出$33
~ bedrock_mantle/openai.gpt-5.6-terra  [bedrock_mantle/responses] 入$2.2 出$13.2
~ bedrock_mantle/openai.gpt-6-astra  [bedrock_mantle/responses] 入$11 出$55
~ bedrock_mantle/openai.gpt-daybreak-blue-5.6-sol  [bedrock_mantle/responses] 入$5.5 出$33
~ bedrock_mantle/us-gov-east-1/openai.gpt-5.4  [bedrock_mantle/responses] 入$3.3 出$19.8
~ bedrock_mantle/us-gov-west-1/openai.gpt-5.4  [bedrock_mantle/responses] 入$3.3 出$19.8
~ bedrock_mantle/us-gov-west-1/openai.gpt-5.6-luna  [bedrock_mantle/responses] 入$0.264 出$1.584
~ bedrock_mantle/us-gov-west-1/openai.gpt-5.6-terra  [bedrock_mantle/responses] 入$2.64 出$15.84
~ computer-use-preview  [openai/chat] 入$3 出$12
~ databricks/databricks-claude-3-7-sonnet  [databricks/chat] 入$3 出$15
~ databricks/databricks-claude-fable-5  [databricks/chat] 入$10 出$50
~ databricks/databricks-claude-fable-5-1  [databricks/chat] 入$10 出$50
~ databricks/databricks-claude-haiku-4-5  [databricks/chat] 入$1 出$5
~ databricks/databricks-claude-opus-4  [databricks/chat] 入$15 出$75
~ databricks/databricks-claude-opus-4-1  [databricks/chat] 入$15 出$75
~ databricks/databricks-claude-opus-4-5  [databricks/chat] 入$5 出$25
~ databricks/databricks-claude-opus-4-6  [databricks/chat] 入$5 出$25
~ databricks/databricks-claude-opus-4-7  [databricks/chat] 入$5 出$25
~ databricks/databricks-claude-opus-4-8  [databricks/chat] 入$5 出$25
~ databricks/databricks-claude-opus-5  [databricks/chat] 入$5 出$25
~ databricks/databricks-claude-sonnet-4  [databricks/chat] 入$3 出$15
~ databricks/databricks-claude-sonnet-4-1  [databricks/chat] 入$3 出$15
~ databricks/databricks-claude-sonnet-4-5  [databricks/chat] 入$3 出$15
~ databricks/databricks-claude-sonnet-4-6  [databricks/chat] 入$3 出$15
~ databricks/databricks-claude-sonnet-5  [databricks/chat] 入$3 出$15
~ databricks/databricks-gemini-2-5-flash  [databricks/chat] 入$0.3 出$2.5
~ databricks/databricks-gemini-2-5-pro  [databricks/chat] 入$1.25 出$10
~ fallback_generalizations  [/] 入- 出-
~ friendliai/zai-org/GLM-5.3  [friendliai/chat] 入$1.26 出$3.96
~ global.openai.gpt-5.6-luna  [bedrock_converse/chat] 入$0.2 出$1.2
~ global.openai.gpt-5.6-sol  [bedrock_converse/chat] 入$4 出$20
~ global.openai.gpt-5.6-terra  [bedrock_converse/chat] 入$2 出$12
~ global.openai.gpt-6-astra  [bedrock_converse/chat] 入$10 出$50
~ gpt-5.4-pro  [openai/responses] 入$30 出$180
~ gpt-5.4-pro-2026-03-05  [openai/responses] 入$30 出$180
~ gpt-5.5-pro  [openai/responses] 入$30 出$180
~ gpt-5.5-pro-2026-04-23  [openai/responses] 入$30 出$180
~ groq/gemma-7b-it  [groq/chat] 入$0.05 出$0.08
~ openrouter/anthropic/claude-opus-4.6  [openrouter/chat] 入$5 出$25
~ openrouter/deepseek/deepseek-chat-v3.1  [openrouter/chat] 入$0.25 出$0.95
~ openrouter/deepseek/deepseek-v3.2  [openrouter/chat] 入$0.269 出$0.4
~ openrouter/deepseek/deepseek-v4-flash  [openrouter/chat] 入$0.0854 出$0.1708
~ openrouter/deepseek/deepseek-v4-pro  [openrouter/chat] 入$0.8599 出$1.72
~ openrouter/deepseek/deepseek-v4-pro-0813  [openrouter/chat] 入$0.5795 出$1.738
~ openrouter/google/gemma-4-26b-a4b-it  [openrouter/chat] 入$0.042 出$0.22
~ openrouter/moonshotai/kimi-k2.7-code  [openrouter/chat] 入$0.71 出$3.5
~ openrouter/moonshotai/kimi-k3  [openrouter/chat] 入$2.1 出$10.53
~ openrouter/qwen/qwen3-14b  [openrouter/chat] 入$0.2275 出$0.91
~ openrouter/qwen/qwen3-235b-a22b-2507  [openrouter/chat] 入$0.22 出$0.88
~ openrouter/qwen/qwen3-30b-a3b-instruct-2507  [openrouter/chat] 入$0.09 出$0.3
~ openrouter/qwen/qwen3-next-80b-a3b-instruct  [openrouter/chat] 入$0.09 出$1.1
~ openrouter/qwen/qwen3.5-122b-a10b  [openrouter/chat] 入$0.26 出$2.08
~ openrouter/qwen/qwen3.5-35b-a3b  [openrouter/chat] 入$0.3125 出$1.25
~ openrouter/z-ai/glm-4.6  [openrouter/chat] 入$0.43 出$1.75
~ openrouter/z-ai/glm-5.2  [openrouter/chat] 入$0.6 出$2
~ openrouter/z-ai/glm-5.3-flash  [openrouter/chat] 入$0.15 出$0.5
~ perplexity/perplexity/nemotron-3-ultra-550b-a55b  [perplexity/responses] 入$0.25 出$2.5
~ perplexity/perplexity/nemotron-3.5-lightning-30b-a3b  [perplexity/responses] 入$0.0115 出$0.17
~ together_ai/Qwen/Qwen2.5-72B-Instruct-Turbo  [together_ai/chat] 入$1.2 出$1.2
~ together_ai/Qwen/Qwen2.5-7B-Instruct-Turbo  [together_ai/chat] 入$0.3 出$0.3
~ together_ai/google/gemma-4-31B-it  [together_ai/chat] 入$0.39 出$0.97
~ together_ai/intfloat/multilingual-e5-large-instruct  [together_ai/embedding] 入$0.02 出$0.02
~ together_ai/mistralai/Mistral-7B-Instruct-v0.1  [together_ai/chat] 入$0.2 出$0.2
~ together_ai/mistralai/Mistral-Small-24B-Instruct-2501  [together_ai/chat] 入$0.1 出$0.3
~ together_ai/openai/gpt-oss-20b  [together_ai/chat] 入$0.05 出$0.2
~ together_ai/thinkingmachines/Inkling-Small  [together_ai/chat] 入$0.5 出$1.2
~ us.openai.gpt-5.6-luna  [bedrock_converse/chat] 入$0.22 出$1.32
~ us.openai.gpt-5.6-sol  [bedrock_converse/chat] 入$4.4 出$22
~ us.openai.gpt-5.6-terra  [bedrock_converse/chat] 入$2.2 出$13.2
~ us.openai.gpt-6-astra  [bedrock_converse/chat] 入$11 出$55
~ vertex_ai/mistral-small-2503  [vertex_ai-mistral_models/chat] 入$0.1 出$0.3
~ vertex_ai/mistral-small-2503@001  [vertex_ai-mistral_models/chat] 入$0.1 出$0.3
~ vertex_ai/openai/gpt-oss-20b-maas  [vertex_ai-openai_models/chat] 入$0.07 出$0.25
~ xai/grok-imagine-image-quality  [xai/image_generation] 入- 出-
~ xai/grok-imagine-image-quality-20260403  [xai/image_generation] 入- 出-
~ xai/grok-imagine-image-quality-latest  [xai/image_generation] 入- 出-

